Title,Location,Area,Status,Price,Year,Bathroom,District
4 BHK Independent Floor,"Neeti Bagh, Delhi",2925,Ready to move,8.5,,,South/West/Central Delhi
1 BHK Apartment,"Khera Khurd, Delhi",450,Ready to move,9.5,,,South/West/Central Delhi
3 BHK Independent Floor,"Paschim Vihar, Delhi",1620,Ready to move,2.35,,,South/West/Central Delhi
3 BHK Independent Floor,"Paschim Vihar, Delhi",1620,Ready to move,2.4,,,South/West/Central Delhi
4 BHK Independent Floor,"Paschim Vihar, Delhi",2250,Ready to move,2.35,,,South/West/Central Delhi
4 BHK Independent Floor,"Paschim Vihar, Delhi",2250,Ready to move,2.9,,,South/West/Central Delhi
3 BHK Independent Floor,"Paschim Vihar, Delhi",1800,Ready to move,2.25,,,South/West/Central Delhi
4 BHK Independent Floor,"Paschim Vihar, Delhi",2250,Ready to move,2.7,,,South/West/Central Delhi
3 BHK Apartment,"Sector 19 Dwarka, Delhi",1800,Ready to move,1.95,,,South/West/Central Delhi
3 BHK Apartment,"Sector 19 Dwarka, Delhi",1800,Ready to move,1.65,,,South/West/Central Delhi
2 BHK Apartment,"Paschim Vihar, Delhi",900,Ready to move,1.35,,,South/West/Central Delhi
2 BHK Apartment,"Paschim Vihar, Delhi",900,Ready to move,1.25,,,South/West/Central Delhi
2 BHK Apartment,"Paschim Vihar, Delhi",900,Ready to move,1.2,,,South/West/Central Delhi
2 BHK Apartment,"Paschim Vihar, Delhi",900,Ready to move,1.15,,,South/West/Central Delhi
4 BHK Villa,"Geetanjali Enclave, Delhi",6251,Ready to move,45.95,,,South-West Delhi
3 BHK Apartment,"i p extension patparganj, Delhi",1200,Ready to move,1.6,,,South/West/Central Delhi
2 BHK Apartment,"Sector 18B Dwarka, Delhi",950,Ready to move,1.08,,,South/West/Central Delhi
3 BHK Apartment,"Sector 12 Dwarka, Delhi",1300,Ready to move,1.07,,,South/West/Central Delhi
2 BHK Apartment,"Sector 19 Dwarka, Delhi",1100,Ready to move,1.25,,,South/West/Central Delhi
5 BHK Independent Floor,"Greater Kailash II, Delhi",6952,Ready to move,20.1,,,South-West Delhi
4 BHK Independent Floor,,2010,Ready to move,1.99,,,South/West/Central Delhi
3 BHK Independent Floor,,950,Ready to move,1.5,,,South/West/Central Delhi
1 BHK Independent Floor,,500,Ready to move,40,,,South-West Delhi
4 BHK Independent Floor,,2025,Ready to move,3.25,,,South/West/Central Delhi
3 BHK Independent Floor,,1180,Ready to move,1.35,,,South/West/Central Delhi
3 BHK Apartment,,1500,Ready to move,2,,,South/West/Central Delhi
3 BHK Apartment,,1450,Ready to move,2.5,,,South/West/Central Delhi
2 BHK Apartment,,1100,Ready to move,1.39,,,South/West/Central Delhi
2 BHK Apartment,,1100,Ready to move,1.15,,,South/West/Central Delhi
3 BHK Apartment,,1800,Ready to move,1.72,,,South/West/Central Delhi
2 BHK Apartment,,1100,Ready to move,1.25,,,South/West/Central Delhi
4 BHK Apartment,,2200,Ready to move,2.3,,,South/West/Central Delhi
4 BHK Apartment,,2100,Ready to move,1.86,,,South/West/Central Delhi
3 BHK Apartment,,1700,Ready to move,1.53,,,South/West/Central Delhi
3 BHK Independent Floor,,2100,Ready to move,1.42,,,South/West/Central Delhi
3 BHK Apartment,,1900,Ready to move,1.62,,,South/West/Central Delhi
3 BHK Apartment,,2000,Ready to move,2.35,,,South/West/Central Delhi
4 BHK Apartment,,2400,Ready to move,2.56,,,South/West/Central Delhi
1 BHK Apartment ,,650,Ready to move,55,,,South-West Delhi
2 BHK Apartment,,1100,Ready to move,1.05,,,South/West/Central Delhi
,"Chhawla, Delhi",1540,Under Construction,53,Possession by Apr 2023,3 Bathrooms,South-West Delhi
,"Chhawla, Delhi",1235,Under Construction,42,Possession by May 2023,2 Bathrooms,South-West Delhi
,"Chhawla, Delhi",935,Under Construction,32,Possession by Mar 2023,2 Bathrooms,South-West Delhi
,"Chhawla, Delhi",575,Under Construction,20,Possession by Jun 2023,1 Bathrooms,South-West Delhi
,"Zone L Dwarka, Delhi",2275,Under Construction,93.04,Possession by Mar 2023,New,South-West Delhi
,"Zone L Dwarka, Delhi",1575,Under Construction,64.41,Possession by Mar 2023,3 Bathrooms,South-West Delhi
,"Zone L Dwarka, Delhi",1275,Under Construction,52.14,Possession by Mar 2023,2 Bathrooms,South-West Delhi
,"Zone L Dwarka, Delhi",1975,Under Construction,80.77,Possession by Mar 2023,New,South-West Delhi
,"Zone L Dwarka, Delhi",1875,Under Construction,76.68,Possession by Mar 2023,New,South-West Delhi
,"Zone L Dwarka, Delhi",2575,Under Construction,1.05,Possession by Mar 2023,New,South/West/Central Delhi
,"Zone L Dwarka, Delhi",875,Under Construction,35.78,Possession by Mar 2023,2 Bathrooms,South-West Delhi
,"Zone L Dwarka, Delhi",1075,Under Construction,43.96,Possession by Mar 2023,New,South-West Delhi
,"Chhawla, Delhi",925,Under Construction,34.68,Possession by Nov 2021,2 Bathrooms,South-West Delhi
,"Chhawla, Delhi",765,Under Construction,28.68,Possession by Nov 2021,1 Bathrooms,South-West Delhi
,"Chhawla, Delhi",525,Under Construction,19.68,Possession by Nov 2021,1 Bathrooms,South-West Delhi
,"Neeti Bagh, Delhi",4200,Ready to move,18,2 - 3 years old,4 Bathrooms,South/West/Central Delhi
,"Neeti Bagh, Delhi",4100,Ready to move,18,2 - 3 years old,4 Bathrooms,South/West/Central Delhi
,"Neeti Bagh, Delhi",4101,Ready to move,18,2 - 3 years old,4 Bathrooms,South/West/Central Delhi
,"Neeti Bagh, Delhi",4102,Ready to move,18,2 - 3 years old,4 Bathrooms,South/West/Central Delhi
,"Neeti Bagh, Delhi",7000,Ready to move,18,2 - 3 years old,4 Bathrooms,South/West/Central Delhi
2 BHK Independent Floor,,580,Ready to move,20,,,South-West Delhi
3 BHK Independent Floor,,990,Ready to move,63,,,South-West Delhi
2 BHK Independent Floor,,459,Under Construction,15,,,South/West/Central Delhi
3 BHK Independent Floor,,1780,Ready to move,2.6,,,South/West/Central Delhi
3 BHK Independent House,,2000,Ready to move,1,,,South/West/Central Delhi
3 BHK Independent Floor,,1337,Ready to move,2.6,,,South/West/Central Delhi
2 BHK Independent Floor,,810,Ready to move,46,,,South-West Delhi
1 BHK Apartment,,450,Ready to move,20.99,,,South-West Delhi
1 BHK Independent House,,278,Ready to move,50,,,South-West Delhi
3 BHK Independent Floor,,1000,Under Construction,42,,,South-West Delhi
4 BHK Independent Floor,,3000,Ready to move,3.6,,,South/West/Central Delhi
4 BHK Independent Floor,,2000,Ready to move,2.75,,,South/West/Central Delhi
Residential Plot,,1000,Resale,45,,,South-West Delhi
3 BHK Independent Floor,,1300,Under Construction,75,,,South-West Delhi
2 BHK Independent Floor,,720,Ready to move,90,,,South-West Delhi
2 BHK Independent Floor,,828,Ready to move,85,,,South-West Delhi
2 BHK Independent Floor,,750,Ready to move,79.99,,,South-West Delhi
3 BHK Apartment,,1500,Ready to move,1.7,,,South/West/Central Delhi
2 BHK Independent Floor,,675,Ready to move,55,,,South-West Delhi
2 BHK Independent Floor,,700,Ready to move,52.5,,,South-West Delhi
2 BHK Independent Floor,,800,Ready to move,36.5,,,South-West Delhi
2 BHK Independent Floor,,800,Under Construction,38,,,South-West Delhi
3 BHK Apartment,,1100,Ready to move,70,,,South-West Delhi
Residential Plot,,900,Resale,2.5,,,South/West/Central Delhi
Residential Plot,,450,Resale,8.99,,,South/West/Central Delhi
Residential Plot,,900,Resale,20,,,South-West Delhi
3 BHK Independent Floor,,1250,Ready to move,1.55,,,South/West/Central Delhi
3 BHK Independent Floor,,1250,Ready to move,1.65,,,South/West/Central Delhi
1 BHK Independent Floor,,345,Ready to move,33,,,South-West Delhi
4 BHK Independent Floor,,2800,Ready to move,5,,,South/West/Central Delhi
3 BHK Independent Floor,,1500,Ready to move,2.45,,,South/West/Central Delhi
4 BHK Independent Floor,,2495,Ready to move,4.25,,,South/West/Central Delhi
3 BHK Independent Floor,,1100,Under Construction,75,,,South-West Delhi
1 BHK Apartment,,500,Ready to move,42,,,South-West Delhi
2 BHK Independent Floor,,800,Under Construction,32,,,South-West Delhi
2 BHK Independent Floor,,800,Ready to move,37,,,South-West Delhi
2 BHK Apartment,,630,Under Construction,28,,,South-West Delhi
2 BHK Independent Floor,,700,Ready to move,52.5,,,South-West Delhi
2 BHK Independent Floor,,700,Under Construction,35,,,South-West Delhi
2 BHK Apartment,,986,Ready to move,2,,,South/West/Central Delhi
4 BHK Independent Floor,,2700,Ready to move,3.5,,4 Bathrooms,South/West/Central Delhi
1 BHK Independent Floor,,320,Ready to move,30,,4 - 5 years old,South-West Delhi
2 BHK Apartment,,500,Ready to move,29.99,,2 Bathrooms,South-West Delhi
3 BHK Independent House,,631,Ready to move,35.75,,3 - 4 years old,South-West Delhi
2 BHK Independent Floor,,850,Ready to move,45.99,,2 Bathrooms,South-West Delhi
2 BHK Independent Floor,,900,Ready to move,74.99,,6 years old,South-West Delhi
5 BHK Independent Floor,,1980,Ready to move,1.25,,3 Bathrooms,South/West/Central Delhi
3 BHK Independent Floor,,1350,Ready to move,1,,1 - 2 years old,South/West/Central Delhi
2 BHK Apartment,,700,Ready to move,7,,2 - 3 years old,South/West/Central Delhi
1 BHK Independent Floor,,360,Ready to move,16.9,,5 - 6 years old,South/West/Central Delhi
3 BHK Independent Floor,,1000,Ready to move,1.1,,2 Bathrooms,South/West/Central Delhi
2 BHK Independent Floor,,800,Ready to move,39,,2 Bathrooms,South-West Delhi
2 BHK Apartment,,675,Ready to move,23,,2 Bathrooms,South-West Delhi
3 BHK Apartment,,1200,Ready to move,1.8,,2 Bathrooms,South/West/Central Delhi
3 BHK Apartment,,1150,Ready to move,1.8,,2 Bathrooms,South/West/Central Delhi
1 BHK Independent Floor,,490,Ready to move,32,,5 - 6 years old,South-West Delhi
2 BHK Independent Floor,,585,Ready to move,32,,5 - 6 years old,South-West Delhi
2 BHK Independent Floor,,650,Ready to move,34.5,,2 Bathrooms,South-West Delhi
3 BHK Independent Floor,,1000,Ready to move,48,,3 Bathrooms,South-West Delhi
2 BHK Independent Floor,,900,Ready to move,36.45,,2 Bathrooms,South-West Delhi
2 BHK Independent Floor,,800,Under Construction,38.5,,1 Bathrooms,South-West Delhi
2 BHK Apartment,,500,Ready to move,33,,2 - 3 years old,South-West Delhi
4 BHK Apartment,,1350,Under Construction,1.05,,3 Bathrooms,South/West/Central Delhi
Residential Plot,,900,Resale,18,,2 open sides,South/West/Central Delhi
3 BHK Independent House,,900,Ready to move,40,,2 Bathrooms,South-West Delhi
2 BHK Apartment,,930,Ready to move,1.25,,21 - 22 years old,South/West/Central Delhi
3 BHK Apartment,,1500,Ready to move,1.95,,3 Bathrooms,South/West/Central Delhi
2 BHK Independent Floor,,950,Ready to move,74,,2 Bathrooms,South-West Delhi
2 BHK Independent House,,675,Ready to move,46,,2 Bathrooms,South-West Delhi
2 BHK Independent Floor,,675,Ready to move,36,,2 Bathrooms,South-West Delhi
1 BHK Apartment,,500,Ready to move,13,,1 Bathrooms,South/West/Central Delhi
3 BHK Apartment,,1100,Ready to move,50,,2 Bathrooms,South-West Delhi
3 BHK Apartment,,1140,Ready to move,55,,2 Bathrooms,South-West Delhi
1 BHK Independent Floor,,451,Ready to move,55,,1 Bathrooms,South-West Delhi
1 BHK Independent Floor,,450,Ready to move,55,,1 Bathrooms,South-West Delhi
2 BHK Independent Floor,,1000,Ready to move,50,,2 Bathrooms,South-West Delhi
2 BHK Apartment,,1000,Ready to move,45,,2 Bathrooms,South-West Delhi
2 BHK Independent Floor,,800,Ready to move,39,,2 Bathrooms,South-West Delhi
4 BHK Independent Floor,,1800,Ready to move,2.5,,4 Bathrooms,South/West/Central Delhi
2 BHK Apartment,,1200,Ready to move,65,,2 Bathrooms,South-West Delhi
3 BHK Apartment,"Ghitorni, Delhi",1200,Ready to move,1.15,,2 - 3 years old,South/West/Central Delhi
4 BHK Independent Floor,"Malviya Nagar, Delhi",1800,Ready to move,2.5,,4 Bathrooms,South/West/Central Delhi
2 BHK Apartment,"Dilshad Garden, Delhi",1200,Ready to move,65,,2 Bathrooms,South-West Delhi
3 BHK Independent Floor,"Patel Nagar, Delhi",1400,Ready to move,1.25,,3 Bathrooms,South/West/Central Delhi
2 BHK Apartment,"Alaknanda, Delhi",1100,Ready to move,1.5,,2 Bathrooms,South/West/Central Delhi
2 BHK Independent Floor,"Dwarka Mor, Delhi",620,Ready to move,29.5,,5 - 6 years old,South-West Delhi
3 BHK Independent Floor,"Uttam Nagar, Delhi",1000,Ready to move,43,,2 Bathrooms,South-West Delhi
1 RK Studio Apartment,"Karampura, Delhi",350,Ready to move,26,,1 Bathrooms,South-West Delhi
3 BHK Apartment,"Pitampura, Delhi",1500,Ready to move,3.1,,Resale,South/West/Central Delhi
2 BHK Independent Floor,"Sudarshan Park, Delhi",500,Ready to move,38,,5 - 6 years old,South-West Delhi
3 BHK Independent Floor,"Dashrath Puri, Delhi",1000,Ready to move,55,,6 years old,South-West Delhi
5 BHK Independent Floor,"Shahdara, Delhi",2750,Ready to move,1.5,,4 Bathrooms,South/West/Central Delhi
2 BHK Apartment,"Sector 10 Dwarka, Delhi",700,Ready to move,33.5,,2 Bathrooms,South-West Delhi
3 BHK Independent Floor,"Chittaranjan Park, Delhi",1050,Ready to move,1.4,,6 years old,South/West/Central Delhi
3 BHK Independent Floor,"Dwarka Mor, Delhi",900,Under Construction,48,,2 Bathrooms,South-West Delhi
3 BHK Independent Floor,"Chittaranjan Park, Delhi",1125,Ready to move,2,,6 years old,South/West/Central Delhi
2 BHK Independent Floor,"Mahavir Enclave, Delhi",800,Ready to move,39,,2 Bathrooms,South-West Delhi
3 BHK Independent Floor,"Chattarpur, Delhi",1125,Under Construction,70,,3 Bathrooms,South-West Delhi
3 BHK Independent Floor,"Janakpuri, Delhi",1350,Ready to move,1.7,,2 Bathrooms,South/West/Central Delhi
2 BHK Independent Floor,"Mahavir Enclave, Delhi",540,Ready to move,36,,2 Bathrooms,South-West Delhi
3 BHK Independent Floor,,1250,Ready to move,1.6,,,South/West/Central Delhi
Residential Plot,,455,Resale,15,,,South/West/Central Delhi
3 BHK Independent Floor,,900,Ready to move,59.99,,,South-West Delhi
